Credits,Player Type,Player Name,Team_x,Unnamed: 0,MatchID,Stadium,Runs,FBalls,Dismissals,StrikeRate,Economy,Runs Conceded,Balls Bowled,Wickets,Catches,Stumpings,RunOuts,Extras,Fours,Sixes,Overs,Maidens,Score
9.0,BOWL,Adam Zampa,AUS,29829,4462.0,"Cazaly's Stadium, Cairns",8,22,1,36.36363636363637,0.0,0,0,0,0,0,0,0,2,0,0,0,4
9.0,BOWL,Adam Zampa,AUS,29851,4462.0,"Cazaly's Stadium, Cairns",0,0,0,0.0,3.8181818181818175,35,55,5,0,0,0,1,0,0,9,0,156
9.0,BOWL,Adam Zampa,AUS,29861,4462.0,"Cazaly's Stadium, Cairns",0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,5
9.0,BOWL,Adam Zampa,AUS,29892,4464.0,"Cazaly's Stadium, Cairns",0,0,0,0.0,5.213114754098361,53,61,1,0,0,0,1,0,0,10,0,26
9.0,BOWL,Adam Zampa,AUS,29925,4475.0,Adelaide Oval,0,0,0,0.0,5.409836065573771,55,61,3,0,0,0,1,0,0,10,0,80
9.0,BOWL,Adam Zampa,AUS,29968,4477.0,Sydney Cricket Ground,0,0,0,0.0,4.426229508196721,45,61,4,0,0,0,4,0,0,10,0,115
9.0,BOWL,Adam Zampa,AUS,30006,4480.0,Melbourne Cricket Ground,0,0,0,0.0,5.470588235294118,31,34,4,0,0,0,0,0,0,5,0,113
9.0,BOWL,Adam Zampa,AUS,34191,4538.0,"Wankhede Stadium, Mumbai",0,6,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,34209,4538.0,"Wankhede Stadium, Mumbai",0,0,0,0.0,6.162162162162161,38,37,0,0,0,0,5,0,0,6,0,-1
9.0,BOWL,Adam Zampa,AUS,34235,4541.0,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0,0,0,0.0,3.0,6,12,0,0,0,0,0,0,0,2,0,3
9.0,BOWL,Adam Zampa,AUS,34255,4545.0,"MA Chidambaram Stadium, Chepauk, Chennai",6,11,0,54.54545454545454,0.0,0,0,0,0,0,0,0,1,0,0,0,3
9.0,BOWL,Adam Zampa,AUS,34276,4545.0,"MA Chidambaram Stadium, Chepauk, Chennai",0,0,0,0.0,4.6000000000000005,46,60,4,0,0,0,1,0,0,10,0,115
9.0,BOWL,Adam Zampa,AUS,36277,4635.0,"Mangaung Oval, Bloemfontein",0,0,0,0.0,4.6000000000000005,46,60,1,0,0,0,4,0,0,10,0,28
9.0,BOWL,Adam Zampa,AUS,36323,4638.0,"Mangaung Oval, Bloemfontein",0,0,0,0.0,5.444444444444445,49,54,4,0,0,0,1,0,0,9,0,113
9.0,BOWL,Adam Zampa,AUS,36387,4646.0,"SuperSport Park, Centurion",5,12,1,41.66666666666667,0.0,0,0,0,0,0,0,0,1,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,36393,4646.0,"SuperSport Park, Centurion",0,0,0,0.0,11.311475409836069,115,61,0,0,0,0,4,0,0,10,0,-9
9.0,BOWL,Adam Zampa,AUS,36428,4648.0,"The Wanderers Stadium, Johannesburg",1,7,1,14.285714285714285,0.0,0,0,0,0,0,0,0,1,0,0,0,2
9.0,BOWL,Adam Zampa,AUS,36433,4648.0,"The Wanderers Stadium, Johannesburg",0,0,0,0.0,7.1,71,60,3,0,0,0,1,0,0,10,0,76
9.0,BOWL,Adam Zampa,AUS,36580,4721.0,Melbourne Cricket Ground,0,0,0,0.0,5.699999999999999,57,60,1,0,0,0,1,0,0,10,0,26
9.0,BOWL,Adam Zampa,AUS,36606,4722.0,Sydney Cricket Ground,8,12,0,66.66666666666666,0.0,0,0,0,0,0,0,0,0,0,0,0,6
9.0,BOWL,Adam Zampa,AUS,36629,4722.0,Sydney Cricket Ground,0,0,0,0.0,3.310344827586207,32,58,1,0,0,0,2,0,0,9,0,28
9.0,BOWL,Adam Zampa,AUS,36658,4723.0,"Manuka Oval, Canberra",0,0,0,0.0,2.903225806451613,15,31,2,0,0,0,2,0,0,5,0,53
9.0,BOWL,Adam Zampa,AUS,39000,4662.0,"MA Chidambaram Stadium, Chepauk, Chennai",6,22,1,27.27272727272727,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,39019,4662.0,"MA Chidambaram Stadium, Chepauk, Chennai",0,0,0,0.0,6.625,53,48,0,0,0,0,0,0,0,8,0,-1
